timestamp,fw_x,fw_y,fw_z,fb_x,fb_y,fb_z,vw_x,vw_y,vw_z,vb_x,vb_y,vb_z,qw,qx,qy,qz,wind_gt_x,wind_gt_y,wind_gt_z,bf_gt_x,bf_gt_y,bf_gt_z
3934.512000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.161235,-0.019927,0.037708,-0.158584,0.018488,0.048219,0.001106,-0.030339,0.020853,-0.999322,-1.655844,-0.409449,-0.202525,0.000000,0.000000,0.000000
3934.522000,-0.045465,0.031175,-0.011690,0.044564,-0.030703,-0.015715,0.161235,-0.019927,0.037708,-0.158584,0.018488,0.048219,0.001106,-0.030339,0.020853,-0.999322,-1.580311,-0.489982,-0.193451,0.000000,0.000000,0.000000
3934.532000,-0.186742,-0.072971,-0.080320,0.181547,0.076138,-0.088840,0.148568,-0.037868,0.032729,-0.146087,0.036564,0.043581,0.000968,-0.031544,0.020816,-0.999285,-1.372398,-0.316074,-0.113082,0.000000,0.000000,0.000000
3934.542000,-0.226487,-0.037002,-0.116627,0.218808,0.041688,-0.129045,0.148568,-0.037868,0.032729,-0.146087,0.036564,0.043581,0.000968,-0.031544,0.020816,-0.999285,-1.140683,-0.245056,-0.077309,0.000000,0.000000,0.000000
3934.552000,-0.264799,-0.002467,-0.159888,0.254206,0.008961,-0.176033,0.148568,-0.037868,0.032729,-0.146087,0.036564,0.043581,0.000968,-0.031544,0.020816,-0.999285,-1.291073,-0.236062,-0.086568,0.000000,0.000000,0.000000
3934.562000,-0.379117,-0.090360,-0.163904,0.368125,0.096870,-0.184008,0.138342,-0.053955,0.038569,-0.135421,0.052382,0.049542,0.000889,-0.032049,0.020609,-0.999273,-1.430729,-0.155946,-0.135861,0.000000,0.000000,0.000000
3934.572000,-0.411359,-0.052984,-0.216774,0.396801,0.061692,-0.240328,0.138342,-0.053955,0.038569,-0.135421,0.052382,0.049542,0.000889,-0.032049,0.020609,-0.999273,-1.490569,-0.160187,-0.169416,0.000000,0.000000,0.000000
3934.582000,-0.442269,-0.017297,-0.271363,0.424042,0.028272,-0.298208,0.138342,-0.053955,0.038569,-0.135421,0.052382,0.049542,0.000889,-0.032049,0.020609,-0.999273,-1.537379,-0.080119,-0.261862,0.000000,0.000000,0.000000
3934.592000,-0.453117,-0.106335,-0.105604,0.445095,0.110313,-0.132271,0.141366,-0.070235,0.068038,-0.136123,0.067507,0.080373,0.000870,-0.034489,0.019996,-0.999205,-1.546510,-0.167394,-0.268809,0.000000,0.000000,0.000000
3934.602000,-0.486173,-0.068782,-0.170179,0.473507,0.075363,-0.200419,0.141366,-0.070235,0.068038,-0.136123,0.067507,0.080373,0.000870,-0.034489,0.019996,-0.999205,-1.674712,-0.244264,-0.277109,0.000000,0.000000,0.000000
3934.612000,-0.517670,-0.033053,-0.232873,0.500498,0.042160,-0.266511,0.141366,-0.070235,0.068038,-0.136123,0.067507,0.080373,0.000870,-0.034489,0.019996,-0.999205,-1.672675,-0.255376,-0.376198,0.000000,0.000000,0.000000
3934.622000,-0.547670,0.000935,-0.293561,0.526140,0.010617,-0.330431,0.141366,-0.070235,0.068038,-0.136123,0.067507,0.080373,0.000870,-0.034489,0.019996,-0.999205,-1.611366,-0.292647,-0.383648,0.000000,0.000000,0.000000
3934.632000,-0.624164,-0.070161,-0.155685,0.608062,0.076307,-0.207796,0.137167,-0.084068,0.094056,-0.127919,0.080214,0.109229,0.000982,-0.044642,0.020218,-0.998798,-1.687252,-0.284238,-0.341365,0.000000,0.000000,0.000000
3934.642000,-0.665279,-0.033984,-0.219156,0.643219,0.042722,-0.276088,0.137167,-0.084068,0.094056,-0.127919,0.080214,0.109229,0.000982,-0.044642,0.020218,-0.998798,-1.783427,-0.290972,-0.305159,0.000000,0.000000,0.000000
3934.652000,-0.704488,0.000452,-0.281113,0.676619,0.010816,-0.342633,0.137167,-0.084068,0.094056,-0.127919,0.080214,0.109229,0.000982,-0.044642,0.020218,-0.998798,-1.653032,-0.186694,-0.346586,0.000000,0.000000,0.000000
