timestamp,fw_x,fw_y,fw_z,fb_x,fb_y,fb_z,vw_x,vw_y,vw_z,vb_x,vb_y,vb_z,qw,qx,qy,qz,wind_gt_x,wind_gt_y,wind_gt_z,bf_gt_x,bf_gt_y,bf_gt_z
9116.096000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.349954,0.337626,0.021805,0.346680,0.340275,0.031005,-0.997213,-0.046458,-0.058377,0.000269,-0.499508,2.338187,-1.005175,-1.500000,0.000000,0.000000
9116.106000,-0.122906,0.142988,0.004471,-0.121949,0.141846,-0.024073,0.345195,0.346832,0.022806,0.341707,0.349852,0.028505,-0.997052,-0.049580,-0.058558,0.000680,-0.524472,2.316117,-1.049418,-1.500000,0.000000,0.000000
9116.116000,-0.207100,0.212433,-0.025238,-0.201785,0.207412,-0.070130,0.345195,0.346832,0.022806,0.341707,0.349852,0.028505,-0.997052,-0.049580,-0.058558,0.000680,-0.477383,2.240489,-1.067976,-1.500000,0.000000,0.000000
9116.126000,-0.287910,0.279107,-0.060460,-0.277629,0.269699,-0.120965,0.345195,0.346832,0.022806,0.341707,0.349852,0.028505,-0.997052,-0.049580,-0.058558,0.000680,-0.514166,2.055458,-1.097503,-1.500000,0.000000,0.000000
9116.136000,-0.418128,0.381378,-0.095672,-0.402343,0.366636,-0.182018,0.338219,0.351682,0.023588,0.334693,0.354775,0.027272,-0.996987,-0.050708,-0.058693,0.000751,-0.696158,1.957137,-0.984853,-1.500000,0.000000,0.000000
9116.146000,-0.490162,0.442727,-0.140492,-0.468359,0.422606,-0.240933,0.338219,0.351682,0.023588,0.334693,0.354775,0.027272,-0.996987,-0.050708,-0.058693,0.000751,-0.586566,2.210616,-1.021714,-1.500000,0.000000,0.000000
9116.156000,-0.559142,0.501482,-0.187690,-0.531074,0.475776,-0.301577,0.338219,0.351682,0.023588,0.334693,0.354775,0.027272,-0.996987,-0.050708,-0.058693,0.000751,-0.578986,2.369336,-0.988258,-1.500000,0.000000,0.000000
9116.166000,-0.625105,0.557673,-0.236181,-0.590654,0.526289,-0.362885,0.338219,0.351682,0.023588,0.334693,0.354775,0.027272,-0.996987,-0.050708,-0.058693,0.000751,-0.367903,2.338571,-1.006379,-1.500000,0.000000,0.000000
9116.176000,-0.705489,0.698128,-0.247594,-0.667779,0.662745,-0.401548,0.336107,0.362854,0.028533,0.331988,0.366504,0.030058,-0.996833,-0.052566,-0.059662,0.000836,-0.303988,2.127312,-0.981998,-1.500000,0.000000,0.000000
9116.186000,-0.766270,0.747995,-0.297647,-0.721938,0.706613,-0.463424,0.336107,0.362854,0.028533,0.331988,0.366504,0.030058,-0.996833,-0.052566,-0.059662,0.000836,-0.235554,1.971243,-1.028578,-1.500000,0.000000,0.000000
9116.196000,-0.824226,0.795559,-0.346984,-0.773390,0.748289,-0.524015,0.336107,0.362854,0.028533,0.331988,0.366504,0.030058,-0.996833,-0.052566,-0.059662,0.000836,-0.328697,2.047710,-1.042870,-1.500000,0.000000,0.000000
9116.206000,-0.871187,0.920422,-0.343269,-0.811023,0.877878,-0.543645,0.338954,0.374523,0.035348,0.333445,0.378410,0.045016,-0.996564,-0.047687,-0.067727,0.000062,-0.366443,2.039614,-1.089066,-1.500000,0.000000,0.000000
9116.216000,-0.937384,0.951692,-0.392564,-0.869760,0.903885,-0.604171,0.338954,0.374523,0.035348,0.333445,0.378410,0.045016,-0.996564,-0.047687,-0.067727,0.000062,-0.323491,1.925143,-1.124044,-1.500000,0.000000,0.000000
9116.226000,-1.000757,0.981739,-0.442938,-0.925560,0.928591,-0.665265,0.338954,0.374523,0.035348,0.333445,0.378410,0.045016,-0.996564,-0.047687,-0.067727,0.000062,-0.429866,2.016171,-1.102128,-1.500000,0.000000,0.000000
9116.236000,-0.953246,1.099525,-0.390612,-0.876961,1.056764,-0.619998,0.354646,0.387308,0.048966,0.346691,0.391830,0.066732,-0.996338,-0.043526,-0.073594,-0.000756,-0.401413,1.903854,-1.128911,-1.500000,0.000000,0.000000
9116.246000,-1.026086,1.115695,-0.444922,-0.940924,1.067800,-0.685603,0.354646,0.387308,0.048966,0.346691,0.391830,0.066732,-0.996338,-0.043526,-0.073594,-0.000756,-0.302084,1.874925,-1.083954,-1.500000,0.000000,0.000000
9116.256000,-1.095779,1.131349,-0.499835,-1.001689,1.078283,-0.751293,0.354646,0.387308,0.048966,0.346691,0.391830,0.066732,-0.996338,-0.043526,-0.073594,-0.000756,-0.248594,1.894249,-0.956936,-1.500000,0.000000,0.000000
9116.266000,-1.162363,1.146442,-0.554527,-1.059415,1.088243,-0.816262,0.354646,0.387308,0.048966,0.346691,0.391830,0.066732,-0.996338,-0.043526,-0.073594,-0.000756,-0.434990,1.879149,-0.937306,-1.500000,0.000000,0.000000
9116.276000,-0.925934,1.299050,-0.383076,-0.825424,1.272232,-0.625886,0.399053,0.408705,0.078501,0.381468,0.413258,0.127064,-0.995143,-0.030164,-0.093682,-0.002139,-0.463724,1.913006,-0.940261,-1.500000,0.000000,0.000000
9116.286000,-1.034742,1.283670,-0.443612,-0.921195,1.253070,-0.704634,0.399053,0.408705,0.078501,0.381468,0.413258,0.127064,-0.995143,-0.030164,-0.093682,-0.002139,-0.395483,1.866396,-0.956932,-1.500000,0.000000,0.000000
9116.296000,-1.139398,1.269471,-0.507890,-1.012176,1.234866,-0.786347,0.399053,0.408705,0.078501,0.381468,0.413258,0.127064,-0.995143,-0.030164,-0.093682,-0.002139,-0.464261,2.064414,-1.030794,-1.500000,0.000000,0.000000
9116.306000,-0.905913,1.426283,-0.261855,-0.799102,1.423964,-0.507239,0.451785,0.436555,0.118496,0.407961,0.437414,0.225763,-0.991373,-0.007064,-0.130869,-0.001838,-0.691420,2.082860,-1.055247,-1.500000,0.000000,0.000000
9116.316000,-1.080585,1.366433,-0.331785,-0.949975,1.363421,-0.619286,0.451785,0.436555,0.118496,0.407961,0.437414,0.225763,-0.991373,-0.007064,-0.130869,-0.001838,-0.905112,2.098595,-1.061661,-1.500000,0.000000,0.000000
9116.326000,-1.250020,1.309757,-0.411233,-1.093303,1.305905,-0.739208,0.451785,0.436555,0.118496,0.407961,0.437414,0.225763,-0.991373,-0.007064,-0.130869,-0.001838,-0.958267,2.073073,-0.999800,-1.500000,0.000000,0.000000
9116.336000,-0.926054,1.538734,-0.275026,-0.802176,1.544017,-0.522918,0.521822,0.477276,0.146679,0.452172,0.474295,0.303628,-0.988199,0.006337,-0.153048,-0.000095,-0.725771,2.300092,-1.008642,-1.500000,0.000000,0.000000
9116.346000,-1.145461,1.450770,-0.362989,-0.984543,1.457626,-0.674225,0.521822,0.477276,0.146679,0.452172,0.474295,0.303628,-0.988199,0.006337,-0.153048,-0.000095,-0.868873,2.322451,-1.017087,-1.500000,0.000000,0.000000
9116.356000,-1.357426,1.367058,-0.457670,-1.157791,1.375555,-0.829628,0.521822,0.477276,0.146679,0.452172,0.474295,0.303628,-0.988199,0.006337,-0.153048,-0.000095,-0.920802,2.199728,-1.055701,-1.500000,0.000000,0.000000
9116.366000,-1.561727,1.287410,-0.556863,-1.322377,1.297587,-0.986964,0.521822,0.477276,0.146679,0.452172,0.474295,0.303628,-0.988199,0.006337,-0.153048,-0.000095,-0.833735,2.052331,-0.952773,-1.500000,0.000000,0.000000
9116.376000,-0.990014,1.679347,-0.572065,-0.733436,1.711477,-0.812718,0.635485,0.545533,0.153836,0.507040,0.535645,0.425569,-0.978879,0.032990,-0.201593,0.008258,-0.889761,2.085021,-1.018290,-1.500000,0.000000,0.000000
9116.386000,-1.300546,1.539575,-0.642917,-0.986641,1.575950,-1.008946,0.635485,0.545533,0.153836,0.507040,0.535645,0.425569,-0.978879,0.032990,-0.201593,0.008258,-0.796843,1.956006,-1.073370,-1.500000,0.000000,0.000000
9116.396000,-1.600133,1.406082,-0.720854,-1.227186,1.447200,-1.206957,0.635485,0.545533,0.153836,0.507040,0.535645,0.425569,-0.978879,0.032990,-0.201593,0.008258,-0.556704,2.019171,-1.099164,-1.500000,0.000000,0.000000
9116.406000,-1.310419,1.556588,-0.786254,-0.874817,1.609774,-1.183927,0.724415,0.586170,0.150054,0.515331,0.579546,0.538005,-0.965852,0.052935,-0.252469,0.024218,-0.358765,1.885161,-1.098175,-1.500000,0.000000,0.000000
9116.416000,-1.704256,1.394408,-0.823719,-1.187888,1.445084,-1.424089,0.724415,0.586170,0.150054,0.515331,0.579546,0.538005,-0.965852,0.052935,-0.252469,0.024218,-0.467134,1.903385,-1.006860,-1.500000,0.000000,0.000000
9116.426000,-2.083470,1.239405,-0.868274,-1.485305,1.288628,-1.662581,0.724415,0.586170,0.150054,0.515331,0.579546,0.538005,-0.965852,0.052935,-0.252469,0.024218,-0.174711,1.855751,-0.985323,-1.500000,0.000000,0.000000
9116.436000,-1.268677,1.551327,-0.765141,-0.821757,1.593672,-1.177506,0.887543,0.647914,0.166933,0.595374,0.650738,0.676359,-0.958236,0.058885,-0.277615,0.035311,-0.140499,1.850643,-1.054695,-1.500000,0.000000,0.000000
9116.446000,-1.716740,1.384811,-0.791667,-1.168924,1.416567,-1.455537,0.887543,0.647914,0.166933,0.595374,0.650738,0.676359,-0.958236,0.058885,-0.277615,0.035311,-0.257431,1.886344,-1.181091,-1.500000,0.000000,0.000000
9116.456000,-2.142714,1.226566,-0.817356,-1.498732,1.248318,-1.720251,0.887543,0.647914,0.166933,0.595374,0.650738,0.676359,-0.958236,0.058885,-0.277615,0.035311,-0.227628,1.827293,-1.164661,-1.500000,0.000000,0.000000
9116.466000,-2.547930,1.076140,-0.842608,-1.812050,1.088481,-1.972738,0.887543,0.647914,0.166933,0.595374,0.650738,0.676359,-0.958236,0.058885,-0.277615,0.035311,-0.237224,1.711376,-1.163638,-1.500000,0.000000,0.000000
9116.476000,-1.177239,1.437259,-0.725930,-0.718225,1.433925,-1.185998,1.131767,0.712809,0.178924,0.666447,0.764664,0.890025,-0.942540,0.061613,-0.322103,0.063806,-0.196033,1.622590,-1.102738,-1.500000,0.000000,0.000000
9116.486000,-1.697400,1.294751,-0.693066,-1.123116,1.246573,-1.490823,1.131767,0.712809,0.178924,0.666447,0.764664,0.890025,-0.942540,0.061613,-0.322103,0.063806,-0.155499,1.577167,-1.039419,-1.500000,0.000000,0.000000
9116.496000,-2.184044,1.160285,-0.652263,-1.507763,1.068588,-1.768198,1.131767,0.712809,0.178924,0.666447,0.764664,0.890025,-0.942540,0.061613,-0.322103,0.063806,-0.282721,1.571120,-1.004424,-1.500000,0.000000,0.000000
9116.506000,-1.212517,1.361816,-0.654674,-0.775770,1.243142,-1.267327,1.328190,0.749860,0.167867,0.691731,0.911498,1.022369,-0.928947,0.050052,-0.351813,0.103829,-0.118492,1.647436,-1.001823,-1.500000,0.000000,0.000000
9116.516000,-1.748252,1.275823,-0.557728,-1.210079,1.058858,-1.552320,1.328190,0.749860,0.167867,0.691731,0.911498,1.022369,-0.928947,0.050052,-0.351813,0.103829,-0.124345,1.706475,-1.000939,-1.500000,0.000000,0.000000
9116.526000,-2.244832,1.194500,-0.451707,-1.622672,0.883789,-1.804437,1.328190,0.749860,0.167867,0.691731,0.911498,1.022369,-0.928947,0.050052,-0.351813,0.103829,0.005389,1.584758,-0.969318,-1.500000,0.000000,0.000000
9116.536000,-1.203348,1.293106,-0.448863,-0.897517,1.093076,-1.149476,1.529389,0.770106,0.152715,0.801891,1.014395,1.132869,-0.925470,0.042323,-0.356704,0.120317,0.031059,1.511952,-1.006277,-1.500000,0.000000,0.000000
9116.546000,-1.702135,1.234701,-0.309506,-1.330753,0.917674,-1.380042,1.529389,0.770106,0.152715,0.801891,1.014395,1.132869,-0.925470,0.042323,-0.356704,0.120317,-0.085834,1.546629,-0.962438,-1.500000,0.000000,0.000000
9116.556000,-2.159146,1.179029,-0.158486,-1.742327,0.751042,-1.573967,1.529389,0.770106,0.152715,0.801891,1.014395,1.132869,-0.925470,0.042323,-0.356704,0.120317,-0.114979,1.503245,-0.939754,-1.500000,0.000000,0.000000
9116.566000,-2.579783,1.125989,-0.000049,-2.133322,0.592742,-1.738023,1.529389,0.770106,0.152715,0.801891,1.014395,1.132869,-0.925470,0.042323,-0.356704,0.120317,0.003641,1.459625,-0.896003,-1.500000,0.000000,0.000000
9116.576000,-1.607273,1.181838,-0.025671,-1.478812,0.655178,-1.168155,1.709293,0.776688,0.128575,0.864634,1.210131,1.153018,-0.921182,0.018733,-0.352177,0.164452,0.066461,1.490604,-0.822978,-1.500000,0.000000,0.000000
9116.586000,-2.013431,1.183149,0.153099,-1.877557,0.511840,-1.299994,1.709293,0.776688,0.128575,0.864634,1.210131,1.153018,-0.921182,0.018733,-0.352177,0.164452,-0.008976,1.413295,-0.807410,-1.500000,0.000000,0.000000
9116.596000,-2.384834,1.182600,0.339501,-2.256364,0.375669,-1.403186,1.709293,0.776688,0.128575,0.864634,1.210131,1.153018,-0.921182,0.018733,-0.352177,0.164452,-0.043333,1.392960,-0.727548,-1.500000,0.000000,0.000000
9116.606000,-1.556870,1.188239,0.221332,-1.685038,0.444943,-0.920552,1.859294,0.771604,0.091281,0.957624,1.420925,1.060475,-0.923005,-0.005877,-0.322145,0.210356,-0.110482,1.454236,-0.655075,-1.500000,0.000000,0.000000
9116.616000,-1.883916,1.228906,0.404020,-2.039992,0.330994,-0.975428,1.859294,0.771604,0.091281,0.957624,1.420925,1.060475,-0.923005,-0.005877,-0.322145,0.210356,-0.126474,1.377798,-0.723763,-1.500000,0.000000,0.000000
9116.626000,-2.186645,1.265571,0.588231,-2.377198,0.222742,-1.014110,1.859294,0.771604,0.091281,0.957624,1.420925,1.060475,-0.923005,-0.005877,-0.322145,0.210356,0.008077,1.438427,-0.743192,-1.500000,0.000000,0.000000
9116.636000,-1.615273,1.200686,0.322336,-1.836654,0.320084,-0.823955,1.968880,0.756254,0.033779,1.063644,1.540559,0.972054,-0.924957,-0.017503,-0.299442,0.233417,-0.020843,1.534208,-0.701645,-1.500000,0.000000,0.000000
9116.646000,-1.887104,1.251882,0.511918,-2.158253,0.225080,-0.825659,1.968880,0.756254,0.033779,1.063644,1.540559,0.972054,-0.924957,-0.017503,-0.299442,0.233417,0.177844,1.622353,-0.726320,-1.500000,0.000000,0.000000
9116.656000,-2.140448,1.298973,0.699375,-2.463771,0.134826,-0.818309,1.968880,0.756254,0.033779,1.063644,1.540559,0.972054,-0.924957,-0.017503,-0.299442,0.233417,0.011248,1.711386,-0.637872,-1.500000,0.000000,0.000000
9116.666000,-2.377206,1.342474,0.883349,-2.754013,0.049084,-0.804146,1.968880,0.756254,0.033779,1.063644,1.540559,0.972054,-0.924957,-0.017503,-0.299442,0.233417,0.078069,1.751394,-0.589056,-1.500000,0.000000,0.000000
9116.676000,-1.853105,1.277859,0.390927,-2.166009,0.055083,-0.724651,2.058868,0.739188,-0.051029,1.147701,1.730470,0.690068,-0.927797,-0.039113,-0.244555,0.279025,0.278809,1.766444,-0.500663,-1.500000,0.000000,0.000000
9116.686000,-2.031095,1.344945,0.557197,-2.407526,0.005333,-0.669688,2.058868,0.739188,-0.051029,1.147701,1.730470,0.690068,-0.927797,-0.039113,-0.244555,0.279025,0.194551,1.727344,-0.555332,-1.500000,0.000000,0.000000
9116.696000,-2.203127,1.410101,0.709179,-2.636968,-0.041929,-0.624284,2.058868,0.739188,-0.051029,1.147701,1.730470,0.690068,-0.927797,-0.039113,-0.244555,0.279025,0.070913,1.701236,-0.545568,-1.500000,0.000000,0.000000
9116.706000,-2.031569,1.397868,0.325832,-2.401846,-0.165226,-0.625546,2.092585,0.727520,-0.116527,1.141870,1.869039,0.352988,-0.926843,-0.059541,-0.182339,0.322753,0.113571,1.562087,-0.494228,-1.500000,0.000000,0.000000
9116.718000,-2.145514,1.493549,0.459538,-2.589974,-0.161783,-0.557635,2.092585,0.727520,-0.116527,1.141870,1.869039,0.352988,-0.926843,-0.059541,-0.182339,0.322753,0.315135,1.722384,-0.492730,-1.500000,0.000000,0.000000
9116.726000,-2.220378,1.556143,0.532631,-2.707867,-0.159625,-0.526624,2.092585,0.727520,-0.116527,1.141870,1.869039,0.352988,-0.926843,-0.059541,-0.182339,0.322753,0.366424,1.600677,-0.471151,-1.500000,0.000000,0.000000
9116.736000,-2.279419,1.552080,0.177919,-2.650993,-0.318893,-0.711971,2.090830,0.716233,-0.171892,1.120166,1.907013,0.150461,-0.924625,-0.069407,-0.149526,0.343355,0.364360,1.550041,-0.460414,-1.500000,0.000000,0.000000
