timestamp,fw_x,fw_y,fw_z,fb_x,fb_y,fb_z,vw_x,vw_y,vw_z,vb_x,vb_y,vb_z,qw,qx,qy,qz,wind_gt_x,wind_gt_y,wind_gt_z,bf_gt_x,bf_gt_y,bf_gt_z
4700.176000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.204744,0.113364,0.075127,0.204890,0.112080,0.076638,-0.999966,0.008150,0.000797,-0.000114,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.186000,-0.011001,0.023237,0.001485,-0.010988,0.023215,0.001876,0.203083,0.118041,0.076554,0.203281,0.116730,0.078024,-0.999968,0.007951,0.000976,-0.000202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.196000,-0.008979,0.010105,-0.015769,-0.009005,0.010358,-0.015588,0.203083,0.118041,0.076554,0.203281,0.116730,0.078024,-0.999968,0.007951,0.000976,-0.000202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.206000,-0.007059,-0.002359,-0.031491,-0.007121,-0.001856,-0.031511,0.203083,0.118041,0.076554,0.203281,0.116730,0.078024,-0.999968,0.007951,0.000976,-0.000202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.216000,-0.034024,0.015906,-0.038424,-0.034093,0.016518,-0.038103,0.199243,0.122030,0.077714,0.199448,0.120720,0.079221,-0.999969,0.007816,0.000980,-0.000210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.226000,-0.030846,0.003345,-0.053647,-0.030949,0.004196,-0.053527,0.199243,0.122030,0.077714,0.199448,0.120720,0.079221,-0.999969,0.007816,0.000980,-0.000210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.236000,-0.027826,-0.008589,-0.068173,-0.027963,-0.007511,-0.068244,0.199243,0.122030,0.077714,0.199448,0.120720,0.079221,-0.999969,0.007816,0.000980,-0.000210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.246000,-0.024675,0.018792,0.063536,-0.024644,0.017784,0.063837,0.199442,0.127229,0.097121,0.199533,0.125571,0.099072,-0.999968,0.008000,0.000178,-0.000223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.256000,-0.023171,0.005831,0.044596,-0.023152,0.005127,0.044692,0.199442,0.127229,0.097121,0.199533,0.125571,0.099072,-0.999968,0.008000,0.000178,-0.000223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.266000,-0.021742,-0.006466,0.027604,-0.021735,-0.006898,0.027505,0.199442,0.127229,0.097121,0.199533,0.125571,0.099072,-0.999968,0.008000,0.000178,-0.000223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.276000,-0.020385,-0.018135,0.012282,-0.020389,-0.018321,0.011998,0.199442,0.127229,0.097121,0.199533,0.125571,0.099072,-0.999968,0.008000,0.000178,-0.000223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.286000,0.020844,0.020965,0.159309,0.018353,0.017122,0.160073,0.206375,0.134708,0.118546,0.204642,0.131511,0.124966,-0.999897,0.011946,-0.007881,-0.000701,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.296000,0.008040,0.002062,0.140091,0.005831,-0.001297,0.140209,0.206375,0.134708,0.118546,0.204642,0.131511,0.124966,-0.999897,0.011946,-0.007881,-0.000701,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.306000,-0.004133,-0.015909,0.121303,-0.006065,-0.018795,0.120808,0.206375,0.134708,0.118546,0.204642,0.131511,0.124966,-0.999897,0.011946,-0.007881,-0.000701,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.316000,0.099129,0.065205,0.389656,0.087348,0.052617,0.394350,0.223147,0.148560,0.156708,0.218587,0.142867,0.168021,-0.999759,0.015739,-0.015221,-0.001316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.326000,0.071505,0.038444,0.360556,0.060566,0.026870,0.363595,0.223147,0.148560,0.156708,0.218587,0.142867,0.168021,-0.999759,0.015739,-0.015221,-0.001316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.336000,0.045259,0.013018,0.332820,0.035123,0.002410,0.334287,0.223147,0.148560,0.156708,0.218587,0.142867,0.168021,-0.999759,0.015739,-0.015221,-0.001316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.346000,0.239940,0.148410,0.535739,0.200312,0.117811,0.559115,0.256739,0.171998,0.186971,0.243021,0.159619,0.214287,-0.998957,0.026537,-0.036993,-0.003437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.356000,0.173048,0.101323,0.502949,0.135803,0.073112,0.519020,0.256739,0.171998,0.186971,0.243021,0.159619,0.214287,-0.998957,0.026537,-0.036993,-0.003437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.366000,0.109256,0.056414,0.468496,0.074519,0.030649,0.477614,0.256739,0.171998,0.186971,0.243021,0.159619,0.214287,-0.998957,0.026537,-0.036993,-0.003437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.376000,0.048451,0.013605,0.433032,0.016300,-0.009691,0.435533,0.256739,0.171998,0.186971,0.243021,0.159619,0.214287,-0.998957,0.026537,-0.036993,-0.003437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.386000,0.304605,0.153344,0.507959,0.226668,0.101643,0.559117,0.306047,0.199773,0.200663,0.274228,0.174907,0.260857,-0.996195,0.044722,-0.074462,-0.007120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.396000,0.178008,0.077701,0.475524,0.105750,0.031805,0.501650,0.306047,0.199773,0.200663,0.274228,0.174907,0.260857,-0.996195,0.044722,-0.074462,-0.007120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.406000,0.056770,0.005249,0.438247,-0.009122,-0.034541,0.440494,0.306047,0.199773,0.200663,0.274228,0.174907,0.260857,-0.996195,0.044722,-0.074462,-0.007120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.416000,0.372773,0.169511,0.462478,0.277375,0.107861,0.541303,0.368168,0.233002,0.208335,0.322764,0.198232,0.299613,-0.993718,0.054679,-0.097152,-0.009809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.426000,0.206606,0.076076,0.425617,0.120705,0.023942,0.463120,0.368168,0.233002,0.208335,0.322764,0.198232,0.299613,-0.993718,0.054679,-0.097152,-0.009809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.436000,0.047805,-0.013231,0.385812,-0.028132,-0.055780,0.383939,0.368168,0.233002,0.208335,0.322764,0.198232,0.299613,-0.993718,0.054679,-0.097152,-0.009809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4700.446000,0.444898,0.186600,0.462294,0.296481,0.097157,0.590871,0.450555,0.274790,0.221333,0.371864,0.217172,0.376896,-0.986871,0.072022,-0.143587,-0.016750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
